from_lat,from_lon,to_lat,to_lon,km,source
15.86157,102.01584,13.61102,101.31725,323.3,google
15.86157,102.01584,14.65748,101.4045,174.1,google
15.86157,102.01584,13.40859,101.20776,355.7,google
15.86157,102.01584,14.83975,105.12624,402.7,google
15.86157,102.01584,14.19173,100.81368,275.3,google
15.86157,102.01584,13.93528,101.05366,303.3,google
17.01995,100.32026,13.3375,101.08677,484.3,google
17.01995,100.32026,16.38124,103.22129,387.7,google
17.01995,100.32026,18.8401,98.98762,318.7,google
17.01995,100.32026,13.825,101.05471,447.2,google
17.01995,100.32026,13.61102,101.31725,483.9,google
17.01995,100.32026,14.65748,101.4045,334.8,google
17.01995,100.32026,13.40859,101.20776,491.4,google
17.01995,100.32026,14.83975,105.12624,688.6,google
17.01995,100.32026,14.19173,100.81368,370.1,google
17.01995,100.32026,13.93528,101.05366,433.4,google
14.9075,100.08686,13.3375,101.08677,250.5,google
14.9075,100.08686,16.38124,103.22129,469.1,google
14.9075,100.08686,18.8401,98.98762,553.0,google
14.9075,100.08686,13.825,101.05471,205.5,google
14.9075,100.08686,13.61102,101.31725,242.2,google
14.9075,100.08686,14.65748,101.4045,178.9,google
14.9075,100.08686,13.40859,101.20776,257.6,google
14.9075,100.08686,14.83975,105.12624,610.4,google
14.9075,100.08686,14.19173,100.81368,136.4,google
14.9075,100.08686,13.93528,101.05366,199.7,google
14.57319,100.08287,13.3375,101.08677,214.7,google
14.57319,100.08287,16.38124,103.22129,490.4,google
14.57319,100.08287,18.8401,98.98762,595.6,google
14.57319,100.08287,13.825,101.05471,169.8,google
14.57319,100.08287,13.61102,101.31725,206.5,google
14.57319,100.08287,14.65748,101.4045,162.3,google
14.57319,100.08287,13.40859,101.20776,221.8,google
14.57319,100.08287,14.83975,105.12624,593.8,google
14.57319,100.08287,14.19173,100.81368,119.9,google
14.57319,100.08287,13.93528,101.05366,183.2,google
13.67603,100.60363,16.01714,102.81953,433.8,google
13.67603,100.60363,14.72791,102.01368,265.8,google
13.67603,100.60363,15.00326,100.0304,194.3,google
13.67603,100.60363,15.2784,100.09664,220.6,google
13.67603,100.60363,16.2741,100.12904,325.6,google
13.67603,100.60363,17.22814,102.90926,557.9,google
13.67603,100.60363,13.91644,101.04417,76.2,google
13.67603,100.60363,13.84778,101.06088,70.3,google
13.67603,100.60363,13.6796,100.90547,43.3,google
13.67603,100.60363,13.7209,100.80069,31.9,google
16.28676,102.78511,16.01714,102.81953,42.5,google
16.28676,102.78511,14.72791,102.01368,210.0,google
16.28676,102.78511,15.00326,100.0304,421.8,google
16.28676,102.78511,15.2784,100.09664,401.8,google
16.28676,102.78511,16.2741,100.12904,402.2,google
16.28676,102.78511,17.22814,102.90926,112.0,google
16.28676,102.78511,13.91644,101.04417,402.5,google
16.28676,102.78511,13.84778,101.06088,408.1,google
16.28676,102.78511,13.6796,100.90547,457.7,google
16.28676,102.78511,13.7209,100.80069,446.6,google
14.78251,101.9564,16.01714,102.81953,201.1,google
14.78251,101.9564,14.72791,102.01368,14.4,google
14.78251,101.9564,15.00326,100.0304,273.5,google
14.78251,101.9564,15.2784,100.09664,249.6,google
14.78251,101.9564,16.2741,100.12904,326.5,google
14.78251,101.9564,17.22814,102.90926,325.3,google
14.78251,101.9564,13.91644,101.04417,211.2,google
14.78251,101.9564,13.84778,101.06088,216.9,google
14.78251,101.9564,13.6796,100.90547,235.0,google
14.78251,101.9564,13.7209,100.80069,255.4,google
14.71108,101.44291,16.01714,102.81953,246.4,google
14.71108,101.44291,14.72791,102.01368,84.0,google
14.71108,101.44291,15.00326,100.0304,207.7,google
14.71108,101.44291,15.2784,100.09664,210.6,google
14.71108,101.44291,16.2741,100.12904,282.0,google
14.71108,101.44291,17.22814,102.90926,370.6,google
14.71108,101.44291,13.91644,101.04417,145.4,google
14.71108,101.44291,13.84778,101.06088,151.0,google
14.71108,101.44291,13.6796,100.90547,200.6,google
14.71108,101.44291,13.7209,100.80069,189.5,google
14.71352,100.82881,16.01714,102.81953,333.1,google
14.71352,100.82881,14.72791,102.01368,165.2,google
14.71352,100.82881,15.00326,100.0304,117.4,google
14.71352,100.82881,15.2784,100.09664,120.3,google
14.71352,100.82881,16.2741,100.12904,225.2,google
14.71352,100.82881,17.22814,102.90926,437.4,google
14.71352,100.82881,13.91644,101.04417,114.5,google
14.71352,100.82881,13.84778,101.06088,120.1,google
14.71352,100.82881,13.6796,100.90547,158.4,google
14.71352,100.82881,13.7209,100.80069,147.3,google
14.73648,102.11758,16.01714,102.81953,190.2,google
14.73648,102.11758,14.72791,102.01368,14.1,google
14.73648,102.11758,15.00326,100.0304,288.7,google
14.73648,102.11758,15.2784,100.09664,264.9,google
14.73648,102.11758,16.2741,100.12904,341.7,google
14.73648,102.11758,17.22814,102.90926,314.4,google
14.73648,102.11758,13.91644,101.04417,226.5,google
14.73648,102.11758,13.84778,101.06088,216.4,google
14.73648,102.11758,13.6796,100.90547,234.7,google
14.73648,102.11758,13.7209,100.80069,270.6,google
15.86157,102.01584,16.01714,102.81953,112.6,google
15.86157,102.01584,14.72791,102.01368,148.0,google
15.86157,102.01584,15.00326,100.0304,309.6,google
15.86157,102.01584,15.2784,100.09664,289.7,google
15.86157,102.01584,16.2741,100.12904,276.7,google
15.86157,102.01584,17.22814,102.90926,217.3,google
15.86157,102.01584,13.91644,101.04417,309.0,google
15.86157,102.01584,13.84778,101.06088,314.7,google
15.86157,102.01584,13.6796,100.90547,364.3,google
15.86157,102.01584,13.7209,100.80069,353.2,google
17.01995,100.32026,16.01714,102.81953,383.1,google
17.01995,100.32026,14.72791,102.01368,389.0,google
17.01995,100.32026,15.00326,100.0304,258.3,google
17.01995,100.32026,15.2784,100.09664,214.6,google
17.01995,100.32026,16.2741,100.12904,100.5,google
17.01995,100.32026,17.22814,102.90926,395.9,google
17.01995,100.32026,13.91644,101.04417,433.7,google
17.01995,100.32026,13.84778,101.06088,445.9,google
17.01995,100.32026,13.6796,100.90547,437.1,google
17.01995,100.32026,13.7209,100.80069,426.0,google
14.9075,100.08686,16.01714,102.81953,396.7,google
14.9075,100.08686,14.72791,102.01368,263.7,google
14.9075,100.08686,15.00326,100.0304,18.1,google
14.9075,100.08686,15.2784,100.09664,55.0,google
14.9075,100.08686,16.2741,100.12904,171.0,google
14.9075,100.08686,17.22814,102.90926,513.0,google
14.9075,100.08686,13.91644,101.04417,200.0,google
14.9075,100.08686,13.84778,101.06088,204.3,google
14.9075,100.08686,13.6796,100.90547,203.3,google
14.9075,100.08686,13.7209,100.80069,192.2,google
14.57319,100.08287,16.01714,102.81953,415.0,google
14.57319,100.08287,14.72791,102.01368,247.1,google
14.57319,100.08287,15.00326,100.0304,60.6,google
14.57319,100.08287,15.2784,100.09664,97.5,google
14.57319,100.08287,16.2741,100.12904,213.5,google
14.57319,100.08287,17.22814,102.90926,539.2,google
14.57319,100.08287,13.91644,101.04417,174.3,google
14.57319,100.08287,13.84778,101.06088,168.5,google
14.57319,100.08287,13.6796,100.90547,167.5,google
14.57319,100.08287,13.7209,100.80069,156.4,google
13.67603,100.60363,15.61027,103.824,502.3,google
13.67603,100.60363,15.68264,100.46821,258.0,google
13.67603,100.60363,15.54663,102.97559,400.4,google
13.67603,100.60363,16.32573,99.63809,343.9,google
13.67603,100.60363,13.98572,100.96352,67.6,google
13.67603,100.60363,13.83999,100.96635,59.9,google
13.67603,100.60363,15.53403,100.48399,242.0,google
13.67603,100.60363,16.0598,100.0351,310.2,google
13.67603,100.60363,15.10604,100.21214,196.2,google
13.67603,100.60363,13.83162,100.9114,57.8,google
16.28676,102.78511,15.61027,103.824,163.5,google
16.28676,102.78511,15.68264,100.46821,333.4,google
16.28676,102.78511,15.54663,102.97559,110.6,google
16.28676,102.78511,16.32573,99.63809,466.9,google
16.28676,102.78511,13.98572,100.96352,393.3,google
16.28676,102.78511,13.83999,100.96635,410.9,google
16.28676,102.78511,15.53403,100.48399,349.8,google
16.28676,102.78511,16.0598,100.0351,389.7,google
16.28676,102.78511,15.10604,100.21214,389.9,google
16.28676,102.78511,13.83162,100.9114,410.4,google
14.78251,101.9564,15.61027,103.824,269.7,google
14.78251,101.9564,15.68264,100.46821,246.0,google
14.78251,101.9564,15.54663,102.97559,167.8,google
14.78251,101.9564,16.32573,99.63809,372.9,google
14.78251,101.9564,13.98572,100.96352,202.0,google
14.78251,101.9564,13.83999,100.96635,219.6,google
14.78251,101.9564,15.53403,100.48399,230.0,google
14.78251,101.9564,16.0598,100.0351,325.8,google
14.78251,101.9564,15.10604,100.21214,237.7,google
14.78251,101.9564,13.83162,100.9114,219.1,google
14.71108,101.44291,15.61027,103.824,315.0,google
14.71108,101.44291,15.68264,100.46821,195.4,google
14.71108,101.44291,15.54663,102.97559,213.1,google
14.71108,101.44291,16.32573,99.63809,333.9,google
14.71108,101.44291,13.98572,100.96352,136.2,google
14.71108,101.44291,13.83999,100.96635,153.8,google
14.71108,101.44291,15.53403,100.48399,179.4,google
14.71108,101.44291,16.0598,100.0351,281.4,google
14.71108,101.44291,15.10604,100.21214,186.1,google
14.71108,101.44291,13.83162,100.9114,153.3,google
14.71352,100.82881,15.61027,103.824,401.7,google
14.71352,100.82881,15.68264,100.46821,157.6,google
14.71352,100.82881,15.54663,102.97559,299.8,google
14.71352,100.82881,16.32573,99.63809,243.6,google
14.71352,100.82881,13.98572,100.96352,102.6,google
14.71352,100.82881,13.83999,100.96635,116.6,google
14.71352,100.82881,15.53403,100.48399,127.8,google
14.71352,100.82881,16.0598,100.0351,209.8,google
14.71352,100.82881,15.10604,100.21214,95.8,google
